Protein A;Gene A;Protein B;Gene B;Score;PMID
Q96F07;CYFIP2;P15884;TCF4;0.236;25609649 
Q96F07;CYFIP2;Q969G2;LHX4;0.236;26186194 28514442 
Q96F07;CYFIP2;O43639;NCK2;0.236;26186194 28514442 
P80188;LCN2;O43715;TRIAP1;0.236;unassigned1304 
Q9UID3;VPS51;P49841;GSK3B;0.332;21900206 
Q96F07;CYFIP2;P31946;YWHAB;0.236;24255178 
Q96F07;CYFIP2;P63104;YWHAZ;0.236;14676191 
Q96F07;CYFIP2;Q8NB15;ZNF511;0.236;26186194 28514442 
Q9UID3;VPS51;P35613;BSG;0.236;26186194 28514442 
Q7LG56;RRM2B;P31350;RRM2;0.236;26186194 28514442 
Q9UID3;VPS51;O95721;SNAP29;0.236;26186194 28514442 
Q7LG56;RRM2B;O15357;INPPL1;0.236;26186194 28514442 
Q7LG56;RRM2B;Q7LG56;RRM2B;0.332;25416956 
Q9UID3;VPS51;O95989;NUDT3;0.332;21900206 
Q9NZR1;TMOD2;Q7LG56;RRM2B;0.236;26186194 28514442 
Q9UID3;VPS51;Q86X19;TMEM17;0.236;26638075 
Q9UID3;VPS51;Q9P1Q0;VPS54;0.396;20685960 
Q9UID3;VPS51;P38936;CDKN1A;0.332;21988832 
Q96F07;CYFIP2;Q04917;YWHAH;0.236;14676191 
Q9BQS6;HSPB9;Q96F07;CYFIP2;0.236;26186194 28514442 
Q9UID3;VPS51;Q96NL6;SCLT1;0.236;26638075 
Q9UID3;VPS51;Q99459;CDC5L;0.236;20467437 
Q9H8W4;PLEKHF2;O43715;TRIAP1;0.236;unassigned1304 
Q9UID3;VPS51;Q53HC9;TSSC1;0.236;26186194 28514442 
Q9UID3;VPS51;Q5VIR6;VPS53;0.707;20685960 26344197 27173435 unassigned1312 
Q7LG56;RRM2B;P23921;RRM1;0.523;20159953 14583450 28514442 
Q7LG56;RRM2B;P04637;TP53;0.507;19015526 12615712 
Q9H4P4;RNF41;Q7LG56;RRM2B;0.332;25910212 
Q7LG56;RRM2B;O43929;ORC4;0.523;25416956 
Q9UID3;VPS51;B7ZAP0;RABGAP1L;0.126;27173435 
Q9UID3;VPS51;O00233;PSMD9;0.236;27173435 unassigned1312 
Q9UID3;VPS51;O00327;ARNTL;0.236;27173435 unassigned1312 
Q9UID3;VPS51;O15516;CLOCK;0.236;27173435 unassigned1312 
Q9UID3;VPS51;O43482;OIP5;0.236;27173435 unassigned1312 
Q9UID3;VPS51;O95619;YEATS4;0.236;27173435 unassigned1312 
Q9UID3;VPS51;P0C1Z6;TFPT;0.236;27173435 unassigned1312 
Q9UID3;VPS51;P40692;MLH1;0.332;20706999 
Q9UID3;VPS51;Q14161;GIT2;0.236;27173435 unassigned1312 
Q9UID3;VPS51;Q4V328;GRIPAP1;0.236;27173435 unassigned1312 
Q9UID3;VPS51;Q567U6;CCDC93;0.236;27173435 unassigned1312 
Q9UID3;VPS51;Q5R372;RABGAP1L;0.236;27173435 unassigned1312 
Q9UID3;VPS51;Q6NSJ2;PHLDB3;0.236;27173435 unassigned1312 
Q9UID3;VPS51;Q6NZI2;PTRF;0.236;27173435 unassigned1312 
Q9UID3;VPS51;Q6P5Z2;PKN3;0.236;27173435 unassigned1312 
Q9UID3;VPS51;Q7Z4H7;HAUS6;0.236;27173435 unassigned1312 
Q9UID3;VPS51;Q86Y13;DZIP3;0.236;27173435 unassigned1312 
Q9UID3;VPS51;Q8TBA6;GOLGA5;0.236;27173435 unassigned1312 
Q9UID3;VPS51;Q8TD31;CCHCR1;0.236;27173435 unassigned1312 
Q9UID3;VPS51;Q96A65;EXOC4;0.332;unassigned1312 27173435 
Q9UID3;VPS51;Q96BD5;PHF21A;0.236;27173435 unassigned1312 
Q9UID3;VPS51;Q96JG6;CCDC132;0.531;26344197 27173435 unassigned1312 26496610 28514442 26186194 
Q9UID3;VPS51;Q96MU7;YTHDC1;0.332;21988832 
Q9UID3;VPS51;Q96MW5;COG8;0.126;20685960 
Q9UID3;VPS51;Q96P16;RPRD1A;0.236;27173435 unassigned1312 
Q9UID3;VPS51;Q9HCH0;NCKAP5L;0.236;27173435 unassigned1312 
Q9UID3;VPS51;Q9NNX1;TUFT1;0.236;27173435 unassigned1312 
Q9UID3;VPS51;Q9NP66;HMG20A;0.236;27173435 unassigned1312 
Q9UKL0;RCOR1;Q9UID3;VPS51;0.236;27173435 unassigned1312 
Q9UKS6;PACSIN3;Q96F07;CYFIP2;0.126;19041431 
Q9ULV8;CBLC;Q96F07;CYFIP2;0.126;28514442 
Q9UM11;FZR1;Q7LG56;RRM2B;0.126;28514442 
Q9H9B4;SFXN1;O43715;TRIAP1;0.126;29568061 
Q9UNE7;STUB1;Q1MSW8;TP53;0.126;25036637 
Q9UNF0;PACSIN2;Q96F07;CYFIP2;0.126;19041431 
Q9UQB8;BAIAP2;Q96F07;CYFIP2;0.126;26186194 
Q9HBL7;PLGRKT;O43715;TRIAP1;0.126;29568061 
Q9NSC5;HOMER3;Q96F07;CYFIP2;0.126;28514442 
Q9UID3;VPS51;Q9NV70;EXOC1;0.126;28514442 
Q9NYB9;ABI2;Q96F07;CYFIP2;0.126;28514442 
Q9UID3;VPS51;Q9NYV4;CDK12;0.081;22939629 
Q9Y3B1;SLMO2;O43715;TRIAP1;0.236;27499296 28514442 
Q9NZC7;WWOX;Q96F07;CYFIP2;0.126;24550385 
Q9Y6W5;WASF2;Q96F07;CYFIP2;0.274;26344197 15048123 
Q96F07;CYFIP2;O43493;TGOLN2;0.126;29568061 
Q9UID3;VPS51;O43493;TGOLN2;0.126;29568061 
Q96F07;CYFIP2;Q6XZF7;DNMBP;0.21;14506234 
P04746;AMY2A;O43715;TRIAP1;0.286;21988832 
Q96F07;CYFIP2;O15155;BET1;0.126;29568061 
Q9UID3;VPS51;O15155;BET1;0.126;29568061 
O43715;TRIAP1;O14727;APAF1;0.21;15735003 
P01591;IGJ;O43715;TRIAP1;0.126;28514442 
P34932;HSPA4;O43715;TRIAP1;0.376;15735003 
Q96N28;SLMO1;O43715;TRIAP1;0.126;28514442 
Q9Y255;PRELID1;O43715;TRIAP1;0.332;26186194 27499296 28514442 
Q9UID3;VPS51;O43752;STX6;0.21;20685960 
Q96F07;CYFIP2;Q70UQ0;IKBIP;0.126;28514442 
Q96F07;CYFIP2;Q6NT52;CGB2;0.126;28514442 
Q96F07;CYFIP2;O60826;CCDC22;0.126;28514442 
Q96F07;CYFIP2;O60861;GAS7;0.286;16055720 
Q7LG56;RRM2B;O60934;NBN;0.21;19015526 
Q7LG56;RRM2B;O60271;SPAG9;0.126;28514442 
Q7LG56;RRM2B;P07951;TPM2;0.126;28514442 
Q7LG56;RRM2B;P62988;UBA52;0.21;19015526 
Q7LG56;RRM2B;Q00987;MDM2;0.659;19015526 
O75208;COQ9;O43715;TRIAP1;0.126;27499296 
Q96F07;CYFIP2;P04629;NTRK1;0.126;25921289 
Q9UID3;VPS51;P04629;NTRK1;0.126;25921289 
P04637;TP53;O43715;TRIAP1;0.21;15735003 
Q1MSW8;TP53;O75807;PPP1R15A;0.126;29109149 
O75880;SCO1;O43715;TRIAP1;0.126;29568061 
Q96F07;CYFIP2;P11142;HSPA8;0.126;29568061 
Q96F07;CYFIP2;P11279;LAMP1;0.126;29568061 
Q9UID3;VPS51;P11279;LAMP1;0.126;29568061 
Q96L34;MARK4;Q96F07;CYFIP2;0.126;14676191 
Q96F07;CYFIP2;O95793;STAU1;0.126;23125841 
O95817;BAG3;O43715;TRIAP1;0.126;23824909 
O95831;AIFM1;O43715;TRIAP1;0.126;29568061 
Q9UID3;VPS51;Q8N1B4;VPS52;0.712;20685960 
Q96F07;CYFIP2;P00747;PLG;0.332;21988832 
P13073;COX4I1;O43715;TRIAP1;0.126;29568061 
Q96F07;CYFIP2;Q13489;BIRC3;0.332;21988832 
Q96F07;CYFIP2;Q13485;SMAD4;0.416;21988832 
Q96F07;CYFIP2;Q06787;FMR1;0.523;12837692 11438699 
Q96F07;CYFIP2;Q5D1E8;ZC3H12A;0.332;21988832 
Q96F07;CYFIP2;Q92558;WASF1;0.081;26344197 
Q96F07;CYFIP2;Q8IZP0;ABI1;0.426;26344197 15048123 
Q9UPY6;WASF3;Q96F07;CYFIP2;0.081;26344197 
Q9P2A4;ABI3;Q96F07;CYFIP2;0.21;17101133 
Q96I36;COX14;O43715;TRIAP1;0.126;29568061 
Q99933;BAG1;Q1MSW8;TP53;0.126;25036637 
Q9UID3;VPS51;P15036;ETS2;0.126;26496610 
Q96F07;CYFIP2;P15311;EZR;0.126;29568061 
Q96F07;CYFIP2;P03950;ANG;0.126;28777577 
Q8WXE1;ATRIP;Q7LG56;RRM2B;0.21;19015526 
Q96F07;CYFIP2;P62993;GRB2;0.126;21706016 
Q92878;RAD50;Q7LG56;RRM2B;0.21;19015526 
Q9GZX7;AICDA;Q7LG56;RRM2B;0.21;23277564 
Q9BY11;PACSIN1;Q96F07;CYFIP2;0.126;19041431 
Q7LG56;RRM2B;P78362;SRPK2;0.183;26167880 
Q96F07;CYFIP2;Q5S007;LRRK2;0.126;24725412 
Q96F07;CYFIP2;Q5T124;UBXN11;0.126;26186194 
Q96F07;CYFIP2;Q400G9;AMZ1;0.126;28514442 
Q96F07;CYFIP2;Q3ZCQ8;TIMM50;0.126;28514442 
Q96F07;CYFIP2;P50552;VASP;0.126;26186194 
Q7LG56;RRM2B;Q13315;ATM;0.523;19015526 
Q96F07;CYFIP2;P51114;FXR1;0.309;11438699 
Q96F07;CYFIP2;Q13557;CAMK2D;0.126;29426014 
Q96F07;CYFIP2;P55160;NCKAP1L;0.081;26344197 
Q1MSW8;TP53;A8K1F4;A8K1F4;0.126;25036637 
Q1MSW8;TP53;O95816;BAG2;0.126;25036637 
Q53FC7;Q53FC7;Q1MSW8;TP53;0.126;25036637 
Q96BE0;Q96BE0;Q1MSW8;TP53;0.126;25036637 
Q7LG56;RRM2B;P52739;ZNF131;0.126;26841866 
Q9UID3;VPS51;P40259;CD79B;0.126;28514442 
Q7LG56;RRM2B;P49959;MRE11A;0.21;19015526 
Q9Y2A7;NCKAP1;Q96F07;CYFIP2;0.274;26344197 15048123 
Q96F07;CYFIP2;Q96EV8;DTNBP1;0.236;26186194 28514442 
Q9UID3;VPS51;Q96EV8;DTNBP1;0.236;26186194 28514442 

